pid,sid,trl,cond,start,isHead,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,rt,resp
6,182,1,1,2,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,20,1
6,182,2,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,7,0
6,182,3,1,8,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,8,1
6,182,4,1,6,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,6,1
6,182,5,1,5,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,8,0
6,182,6,1,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,7,0
6,182,7,1,3,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,10,1
6,182,8,1,7,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,1,11,1
6,182,9,1,4,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,10,0
6,182,10,1,3,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,10,0
6,182,11,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,6,0
6,182,12,1,6,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,9,1
6,182,13,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,1
6,182,14,1,2,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,9,0
6,182,15,1,7,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,12,1
6,182,16,1,8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,6,0
6,182,17,1,8,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,9,1
6,182,18,1,3,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,9,1
6,182,19,1,6,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,11,1
6,182,20,1,7,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,8,0
6,182,21,1,2,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,10,1
6,182,22,1,4,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,8,0
6,182,23,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,9,0
6,182,24,1,5,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,6,1
6,182,25,1,5,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,9,0
6,182,26,1,8,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,20,1
6,182,27,1,6,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,9,0
6,182,28,1,4,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,14,1
6,182,29,1,7,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,11,1
6,182,30,1,3,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,11,0
6,182,31,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1
