pid,sid,trl,cond,start,isHead,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,rt,resp
9,179,1,1,6,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,20,0
9,179,2,1,2,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,9,0
9,179,3,1,7,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,20,0
9,179,4,1,4,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,5,1
9,179,5,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0
9,179,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0
9,179,7,1,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,4,0
9,179,8,1,3,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,5,1
9,179,9,1,6,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4,0
9,179,10,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,20,1
9,179,11,1,8,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,10,0
9,179,12,1,7,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,6,1
9,179,13,1,4,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,5,1
9,179,14,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0
9,179,15,1,5,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,20,1
9,179,16,1,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,7,0
9,179,17,1,4,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,8,1
