session,trial,staircase,orientation,response,correct,soa1,soa2
1,1,2,right,left,False,12,12
1,1,3,right,right,True,13,12
1,2,2,right,right,True,13,12
1,2,3,left,left,True,13,12
1,3,2,left,left,True,13,12
1,3,3,left,right,False,12,12
1,4,2,left,left,True,12,13
1,4,3,right,left,False,12,13
1,5,2,left,left,True,12,14
1,5,3,left,right,False,11,14
1,6,2,left,left,True,11,15
1,6,3,right,right,True,11,15
1,7,2,left,right,False,11,15
1,7,3,left,left,True,12,15
1,8,2,left,right,False,12,15
1,8,3,left,right,False,13,15
1,9,2,right,left,False,13,16
1,9,3,left,left,True,14,16
1,10,2,left,left,True,14,16
1,10,3,left,right,False,14,16
1,11,2,right,left,False,14,17
1,11,3,left,left,True,15,17
1,12,2,right,right,True,15,17
1,12,3,left,right,False,15,17
1,13,2,right,left,False,15,18
1,13,3,right,right,True,16,18
1,14,2,right,left,False,16,18
1,14,3,left,left,True,17,18
1,15,2,left,left,True,17,18
1,15,3,right,left,False,17,18
1,16,2,left,right,False,17,19
1,16,3,left,left,True,18,19
1,17,2,right,left,False,18,19
1,17,3,left,left,True,19,19
1,18,2,right,left,False,19,19
1,18,3,right,left,False,20,19
1,19,2,left,right,False,20,20
1,19,3,right,left,False,21,20
1,20,2,right,right,True,21,21
1,20,3,left,right,False,21,21
1,21,2,left,right,False,21,22
1,21,3,left,left,True,22,22
1,22,2,right,right,True,22,22
1,22,3,right,right,True,22,22
1,23,2,right,right,True,22,22
1,23,3,right,left,False,21,22
1,24,2,left,right,False,21,23
1,24,3,right,right,True,22,23
1,25,2,right,left,False,22,23
1,25,3,right,right,True,23,23
