session,trial,staircase,orientation,response,correct,soa1,soa2
1,1,2,left,left,True,12,12
1,1,3,right,right,True,12,12
1,2,2,right,right,True,12,12
1,2,3,right,right,True,11,12
1,3,2,left,left,True,11,12
1,3,3,right,right,True,11,12
1,4,2,right,right,True,11,11
1,4,3,right,right,True,10,11
1,5,2,left,left,True,10,11
1,5,3,right,left,False,10,11
1,6,2,left,left,True,10,12
1,6,3,left,left,True,9,12
1,7,2,left,left,True,9,12
1,7,3,right,right,True,9,12
1,8,2,left,left,True,9,12
1,8,3,left,left,True,8,12
1,9,2,right,right,True,8,11
1,9,3,right,right,True,8,11
1,10,2,left,left,True,8,11
1,10,3,left,left,True,7,11
1,11,2,left,left,True,7,11
1,11,3,left,left,True,7,11
1,12,2,right,left,False,7,10
1,12,3,left,left,True,8,10
1,13,2,left,left,True,8,10
1,13,3,left,left,True,8,10
1,14,2,left,left,True,8,10
1,14,3,left,left,True,7,10
1,15,2,right,left,False,7,9
1,15,3,left,left,True,8,9
1,16,2,right,right,True,8,9
1,16,3,right,right,True,8,9
1,17,2,right,left,False,8,9
1,17,3,left,left,True,9,9
1,18,2,left,left,True,9,8
1,18,3,left,left,True,9,8
1,19,2,right,right,True,9,8
1,19,3,left,left,True,8,8
1,20,2,right,left,False,8,8
1,20,3,right,left,False,9,8
1,21,2,left,left,True,9,9
1,21,3,right,right,True,9,9
1,22,2,left,left,True,9,9
1,22,3,right,right,True,8,9
1,23,2,left,left,True,8,9
1,23,3,left,left,True,8,9
1,24,2,right,left,False,8,8
1,24,3,right,left,False,9,8
1,25,2,left,left,True,9,9
1,25,3,right,left,False,9,9
