pid,sid,trl,cond,start,isHead,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,rt,resp
9,163,1,1,6,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,20,0
9,163,2,1,4,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,5,1
9,163,3,1,7,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,5,0
9,163,4,1,5,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,7,1
9,163,5,1,8,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,7,0
9,163,6,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,20,0
9,163,7,1,2,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,20,1
9,163,8,1,3,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,7,0
9,163,9,1,2,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,7,1
9,163,10,1,5,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,6,0
9,163,11,2,6,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,6,1
9,163,12,2,4,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,8,0
9,163,13,2,7,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,4,1
9,163,14,2,5,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,7,0
9,163,15,2,8,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8,1
9,163,16,2,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,5,0
9,163,17,2,2,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,6,1
9,163,18,2,3,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,6,1
9,163,19,2,2,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,4,0
9,163,20,2,5,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,5,1
9,163,21,3,6,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,6,1
9,163,22,3,4,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,6,1
9,163,23,3,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,5,0
9,163,24,3,5,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,20,0
9,163,25,3,8,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,7,0
9,163,26,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,5,0
9,163,27,3,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,6,1
9,163,28,3,3,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,5,1
9,163,29,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,5,0
9,163,30,3,5,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,5,1
9,163,31,4,6,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,20,1
9,163,32,4,4,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,20,1
9,163,33,4,7,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,8,1
9,163,34,4,5,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,8,0
9,163,35,4,8,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,6,1
9,163,36,4,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,20,1
9,163,37,4,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0
9,163,38,4,3,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,10,0
9,163,39,4,2,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,8,1
9,163,40,4,5,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,8,1
